time,aug_factor,u00_prob,u07_prob,u10_prob,u17_prob,u34_prob,u35_prob,u47_prob,u00gth,u07gth,u10gth,u17gth,u34gth,u35gth,u47gth,mse,entropy,model,feature num,random seed
1665463340,0,0.020689655,0.019230769,0.014084507,0.028571429,0,0.014492754,0.029850746,0,0,0,1,0,0,0,0.135110119,2.523920956,RF,78,0
1665463340,0,0,0.038461538,0,0.057142857,0,0,0,0,0,0,1,0,0,0,0.127208412,0.972279462,LR,78,0
1665463340,0,0.075862069,0.153846154,0.126760563,0.285714286,0.074626866,0.101449275,0.089552239,0,0,0,1,0,0,0,0.082796678,2.634020029,DT,78,0
1665463340,0,0.013793103,0.038461538,0,0.071428571,0,0,0.029850746,0,0,0,1,0,0,0,0.123543644,1.785582738,GBDT,78,0
1665463340,0,0.027586207,0.057692308,0.042253521,0.085714286,0,0,0.014925373,0,0,0,1,0,0,0,0.120287985,2.108600228,AB,78,0
1665463340,0,0.95862069,0.942307692,0.985915493,0.914285714,1,0.956521739,0.970149254,0,0,0,1,0,0,0,0.806056732,2.806819878,GNB,78,0
1665463340,0,0.034482759,0.038461538,0,0.2,0,0.014492754,0,0,0,0,1,0,0,0,0.09183977,1.336674661,LDA,78,0
1665463340,0,0.889655172,0.923076923,0.915492958,0.771428571,1,0.927536232,0.940298507,0,0,0,1,0,0,0,0.75405919,2.803628448,QDA,78,0
1665463340,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,SVM,78,0
1665463340,0,0.020689655,0.019230769,0.014084507,0.142857143,0.014925373,0.028985507,0.059701493,0,0,0,1,0,0,0,0.105759619,2.240399741,KNN,78,0
1665463343,1,0.013793103,0.057692308,0.028169014,0.042857143,0.014925373,0.014492754,0,0,0,0,1,0,0,0,0.131552486,2.354678492,RF,78,0
1665463343,1,0.013793103,0.019230769,0.014084507,0.1,0,0,0,0,0,0,1,0,0,0,0.115822635,1.406521529,LR,78,0
1665463343,1,0.082758621,0.211538462,0.183098592,0.357142857,0.074626866,0.086956522,0.149253731,0,0,0,1,0,0,0,0.076256456,2.593230392,DT,78,0
1665463343,1,0.013793103,0.038461538,0,0.085714286,0,0,0.029850746,0,0,0,1,0,0,0,0.119782711,1.721570068,GBDT,78,0
1665463343,1,0.034482759,0.057692308,0.056338028,0.142857143,0.014925373,0.043478261,0.059701493,0,0,0,1,0,0,0,0.106866101,2.545422495,AB,78,0
1665463343,1,0.95862069,0.961538462,0.985915493,0.942857143,1,0.956521739,0.970149254,0,0,0,1,0,0,0,0.810703988,2.807108939,GNB,78,0
1665463343,1,0.034482759,0.019230769,0.042253521,0.257142857,0,0.014492754,0.029850746,0,0,0,1,0,0,0,0.079468869,1.722321104,LDA,78,0
1665463343,1,0.937931034,0.923076923,0.957746479,0.885714286,1,0.956521739,0.940298507,0,0,0,1,0,0,0,0.780174328,2.806501273,QDA,78,0
1665463343,1,0,0,0,0.042857143,0,0,0,0,0,0,1,0,0,0,0.130874636,0,SVM,78,0
1665463343,1,0.034482759,0.019230769,0.042253521,0.157142857,0.014925373,0.057971014,0.089552239,0,0,0,1,0,0,0,0.103622202,2.414971698,KNN,78,0
1665463346,2,0.027586207,0.076923077,0.028169014,0.071428571,0,0.014492754,0.059701493,0,0,0,1,0,0,0,0.124784408,2.37978757,RF,78,0
1665463346,2,0.006896552,0.038461538,0.042253521,0.142857143,0,0,0,0,0,0,1,0,0,0,0.105429441,1.458970317,LR,78,0
1665463346,2,0.075862069,0.134615385,0.169014085,0.257142857,0.119402985,0.188405797,0.059701493,0,0,0,1,0,0,0,0.093942419,2.666505488,DT,78,0
1665463346,2,0.013793103,0.038461538,0,0.071428571,0,0,0.104477612,0,0,0,1,0,0,0,0.124975716,1.718236038,GBDT,78,0
1665463346,2,0.048275862,0.115384615,0.098591549,0.114285714,0,0.028985507,0.074626866,0,0,0,1,0,0,0,0.116609084,2.451332937,AB,78,0
1665463346,2,0.95862069,0.942307692,0.985915493,0.942857143,1,0.956521739,0.970149254,0,0,0,1,0,0,0,0.805473642,2.80704547,GNB,78,0
1665463346,2,0.034482759,0.076923077,0.042253521,0.228571429,0,0.014492754,0.014925373,0,0,0,1,0,0,0,0.086346633,1.903765994,LDA,78,0
1665463346,2,0.903448276,0.942307692,0.957746479,0.9,1,0.942028986,0.940298507,0,0,0,1,0,0,0,0.771860112,2.806560212,QDA,78,0
1665463346,2,0,0,0,0.042857143,0,0,0,0,0,0,1,0,0,0,0.130874636,0,SVM,78,0
1665463346,2,0.04137931,0.076923077,0.070422535,0.185714286,0.014925373,0.15942029,0.104477612,0,0,0,1,0,0,0,0.101743305,2.521906092,KNN,78,0
1665463350,3,0.034482759,0,0.014084507,0.042857143,0.014925373,0,0.014925373,0,0,0,1,0,0,0,0.131136488,2.150879294,RF,78,0
1665463350,3,0.013793103,0.038461538,0.042253521,0.214285714,0,0.014492754,0.014925373,0,0,0,1,0,0,0,0.088747806,1.730381432,LR,78,0
1665463350,3,0.062068966,0.134615385,0.126760563,0.414285714,0.074626866,0.173913043,0.149253731,0,0,0,1,0,0,0,0.062742131,2.535247608,DT,78,0
1665463350,3,0.020689655,0.134615385,0.014084507,0.128571429,0,0,0.089552239,0,0,0,1,0,0,0,0.112307871,1.945904986,GBDT,78,0
1665463350,3,0.04137931,0.134615385,0.112676056,0.157142857,0,0.057971014,0.104477612,0,0,0,1,0,0,0,0.108173402,2.460142791,AB,78,0
1665463350,3,0.95862069,0.942307692,0.985915493,0.942857143,1,0.956521739,0.970149254,0,0,0,1,0,0,0,0.805473642,2.80704547,GNB,78,0
1665463350,3,0.04137931,0.057692308,0.028169014,0.271428571,0,0.043478261,0.029850746,0,0,0,1,0,0,0,0.077061699,1.949041029,LDA,78,0
1665463350,3,0.931034483,0.942307692,0.957746479,0.9,1,0.927536232,0.940298507,0,0,0,1,0,0,0,0.775218865,2.806697544,QDA,78,0
1665463350,3,0,0,0,0.042857143,0,0,0,0,0,0,1,0,0,0,0.130874636,0,SVM,78,0
1665463350,3,0.04137931,0.076923077,0.070422535,0.185714286,0.059701493,0.173913043,0.119402985,0,0,0,1,0,0,0,0.10338815,2.624488134,KNN,78,0
1665463353,4,0.020689655,0,0.014084507,0.114285714,0,0.028985507,0.044776119,0,0,0,1,0,0,0,0.112565899,1.912232173,RF,78,0
1665463353,4,0.027586207,0.076923077,0.084507042,0.257142857,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.081055366,2.047889057,LR,78,0
1665463353,4,0.055172414,0.230769231,0.197183099,0.228571429,0.089552239,0.115942029,0.164179104,0,0,0,1,0,0,0,0.105528369,2.672101453,DT,78,0
1665463353,4,0.020689655,0.057692308,0,0.085714286,0,0.014492754,0.104477612,0,0,0,1,0,0,0,0.12154292,2.015702359,GBDT,78,0
1665463353,4,0.055172414,0.096153846,0.126760563,0.128571429,0.014925373,0.101449275,0.104477612,0,0,0,1,0,0,0,0.11559655,2.641743751,AB,78,0
1665463353,4,0.95862069,0.961538462,0.985915493,0.942857143,1,0.956521739,0.970149254,0,0,0,1,0,0,0,0.810703988,2.807108939,GNB,78,0
1665463353,4,0.062068966,0.134615385,0.084507042,0.3,0,0.028985507,0.059701493,0,0,0,1,0,0,0,0.074788532,2.185925232,LDA,78,0
1665463353,4,0.903448276,0.923076923,0.915492958,0.828571429,1,0.927536232,0.940298507,0,0,0,1,0,0,0,0.754327093,2.805449836,QDA,78,0
1665463353,4,0,0,0.028169014,0.085714286,0,0.028985507,0,0,0,0,1,0,0,0,0.119650289,1.370969333,SVM,78,0
1665463353,4,0.082758621,0.096153846,0.169014085,0.342857143,0.074626866,0.260869565,0.179104478,0,0,0,1,0,0,0,0.08317108,2.604726006,KNN,78,0
1665463357,5,0.034482759,0.038461538,0.042253521,0.085714286,0,0,0.044776119,0,0,0,1,0,0,0,0.120339568,2.23081204,RF,78,0
1665463357,5,0.04137931,0.115384615,0.126760563,0.357142857,0,0.043478261,0.014925373,0,0,0,1,0,0,0,0.06378179,1.979770422,LR,78,0
1665463357,5,0.048275862,0.134615385,0.197183099,0.3,0.089552239,0.130434783,0.164179104,0,0,0,1,0,0,0,0.08590295,2.632961202,DT,78,0
1665463357,5,0.013793103,0.134615385,0.056338028,0.128571429,0,0,0.149253731,0,0,0,1,0,0,0,0.114735708,2.054151955,GBDT,78,0
1665463357,5,0.055172414,0.153846154,0.154929577,0.171428571,0.029850746,0.101449275,0.134328358,0,0,0,1,0,0,0,0.109496222,2.643923637,AB,78,0
1665463357,5,0.95862069,0.961538462,0.985915493,0.942857143,1,0.956521739,0.970149254,0,0,0,1,0,0,0,0.810703988,2.807108939,GNB,78,0
1665463357,5,0.062068966,0.153846154,0.112676056,0.357142857,0,0.043478261,0.044776119,0,0,0,1,0,0,0,0.065339665,2.146032081,LDA,78,0
1665463357,5,0.937931034,0.942307692,0.985915493,0.928571429,1,0.927536232,0.940298507,0,0,0,1,0,0,0,0.78418208,2.806787357,QDA,78,0
1665463357,5,0.006896552,0.057692308,0.042253521,0.128571429,0,0.072463768,0.059701493,0,0,0,1,0,0,0,0.110480621,2.303504576,SVM,78,0
1665463357,5,0.131034483,0.153846154,0.211267606,0.371428571,0.104477612,0.333333333,0.208955224,0,0,0,1,0,0,0,0.092323384,2.675473199,KNN,78,0
1665463431,0,0.020689655,0.019230769,0.042253521,0.057142857,0.014925373,0,0.029850746,0,0,0,1,0,0,0,0.127525239,2.425525322,RF,10,0
1665463431,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LR,10,0
1665463431,0,0.068965517,0.153846154,0.14084507,0.285714286,0.089552239,0.043478261,0.089552239,0,0,0,1,0,0,0,0.082342266,2.573517946,DT,10,0
1665463431,0,0.027586207,0.038461538,0.014084507,0.114285714,0,0,0,0,0,0,1,0,0,0,0.112418351,1.587118854,GBDT,10,0
1665463431,0,0,0.038461538,0.014084507,0.085714286,0,0,0,0,0,0,1,0,0,0,0.119656576,1.27680472,AB,10,0
1665463431,0,0.006896552,0.019230769,0.028169014,0.157142857,0,0.014492754,0,0,0,0,1,0,0,0,0.101689869,1.449207273,GNB,10,0
1665463431,0,0,0,0,0.028571429,0,0,0,0,0,0,1,0,0,0,0.134810496,0,LDA,10,0
1665463431,0,0,0.038461538,0,0.142857143,0,0,0.014925373,0,0,0,1,0,0,0,0.105199419,1.076941801,QDA,10,0
1665463431,0,0,0,0,0.014285714,0,0,0,0,0,0,1,0,0,0,0.138804665,0,SVM,10,0
1665463431,0,0.055172414,0.038461538,0.042253521,0.085714286,0.029850746,0.086956522,0.059701493,0,0,0,1,0,0,0,0.122034826,2.711460111,KNN,10,0
1665463433,1,0.020689655,0.019230769,0.056338028,0.042857143,0,0,0.014925373,0,0,0,1,0,0,0,0.131473868,2.13428969,RF,10,0
1665463433,1,0,0,0,0.014285714,0,0,0,0,0,0,1,0,0,0,0.138804665,0,LR,10,0
1665463433,1,0.110344828,0.115384615,0.23943662,0.514285714,0.149253731,0.115942029,0.179104478,0,0,0,1,0,0,0,0.055219357,2.554928334,DT,10,0
1665463433,1,0.04137931,0.019230769,0.028169014,0.171428571,0,0,0.014925373,0,0,0,1,0,0,0,0.09851842,1.669332064,GBDT,10,0
1665463433,1,0.013793103,0.057692308,0.028169014,0.228571429,0,0,0,0,0,0,1,0,0,0,0.085630598,1.300600168,AB,10,0
1665463433,1,0.034482759,0.019230769,0.028169014,0.185714286,0,0.014492754,0.014925373,0,0,0,1,0,0,0,0.095120915,1.791670185,GNB,10,0
1665463433,1,0,0,0,0.071428571,0,0,0,0,0,0,1,0,0,0,0.123177843,0,LDA,10,0
1665463433,1,0.034482759,0.057692308,0.014084507,0.185714286,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.095644041,2.028953045,QDA,10,0
1665463433,1,0,0,0,0.028571429,0,0,0,0,0,0,1,0,0,0,0.134810496,0,SVM,10,0
1665463433,1,0.082758621,0.038461538,0.070422535,0.128571429,0.059701493,0.130434783,0.074626866,0,0,0,1,0,0,0,0.114117434,2.703193999,KNN,10,0
1665463434,2,0.027586207,0.038461538,0.042253521,0.085714286,0,0.028985507,0.014925373,0,0,0,1,0,0,0,0.120143849,2.379413365,RF,10,0
1665463434,2,0,0,0,0.042857143,0,0,0,0,0,0,1,0,0,0,0.130874636,0,LR,10,0
1665463434,2,0.096551724,0.096153846,0.126760563,0.2,0.059701493,0.028985507,0.149253731,0,0,0,1,0,0,0,0.100188163,2.626566627,DT,10,0
1665463434,2,0.020689655,0.057692308,0.028169014,0.142857143,0.014925373,0,0.029850746,0,0,0,1,0,0,0,0.105765381,2.113545145,GBDT,10,0
1665463434,2,0,0.076923077,0.028169014,0.242857143,0.014925373,0.014492754,0.044776119,0,0,0,1,0,0,0,0.083201952,1.847878607,AB,10,0
1665463434,2,0.034482759,0.019230769,0.028169014,0.142857143,0,0.014492754,0.029850746,0,0,0,1,0,0,0,0.105449623,2.056613704,GNB,10,0
1665463434,2,0,0.057692308,0.014084507,0.085714286,0,0,0,0,0,0,1,0,0,0,0.119920735,1.31989405,LDA,10,0
1665463434,2,0.027586207,0.057692308,0.014084507,0.157142857,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.102346738,2.095316326,QDA,10,0
1665463434,2,0,0,0,0.042857143,0,0,0,0,0,0,1,0,0,0,0.130874636,0,SVM,10,0
1665463434,2,0.082758621,0.057692308,0.084507042,0.128571429,0.074626866,0.15942029,0.089552239,0,0,0,1,0,0,0,0.116530027,2.731054827,KNN,10,0
1665463436,3,0.027586207,0.019230769,0.014084507,0.071428571,0.044776119,0.028985507,0.044776119,0,0,0,1,0,0,0,0.124060579,2.630766497,RF,10,0
1665463436,3,0,0.038461538,0,0.028571429,0,0,0,0,0,0,1,0,0,0,0.135021823,0.984239989,LR,10,0
1665463436,3,0.075862069,0.096153846,0.197183099,0.157142857,0.059701493,0.072463768,0.074626866,0,0,0,1,0,0,0,0.111239198,2.669022242,DT,10,0
1665463436,3,0.027586207,0.076923077,0.028169014,0.185714286,0,0,0.014925373,0,0,0,1,0,0,0,0.095822235,1.757773434,GBDT,10,0
1665463436,3,0,0.076923077,0.056338028,0.271428571,0.014925373,0.014492754,0.089552239,0,0,0,1,0,0,0,0.078337124,1.969161977,AB,10,0
1665463436,3,0.048275862,0.019230769,0.028169014,0.157142857,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.102233324,2.119097728,GNB,10,0
1665463436,3,0,0.076923077,0.014084507,0.128571429,0,0,0,0,0,0,1,0,0,0,0.109357613,1.236428222,LDA,10,0
1665463437,3,0.020689655,0.134615385,0.014084507,0.242857143,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.08482061,1.858327984,QDA,10,0
1665463437,3,0,0,0.014084507,0.071428571,0,0,0,0,0,0,1,0,0,0,0.123206182,0.64544959,SVM,10,0
1665463437,3,0.103448276,0.076923077,0.084507042,0.157142857,0.104477612,0.173913043,0.089552239,0,0,0,1,0,0,0,0.111907033,2.74243267,KNN,10,0
1665463439,4,0.04137931,0.038461538,0.042253521,0.071428571,0.014925373,0.028985507,0.044776119,0,0,0,1,0,0,0,0.124327089,2.692800947,RF,10,0
1665463439,4,0,0.076923077,0.028169014,0.142857143,0,0,0,0,0,0,1,0,0,0,0.105914933,1.338654194,LR,10,0
1665463439,4,0.082758621,0.211538462,0.126760563,0.271428571,0.119402985,0.202898551,0.179104478,0,0,0,1,0,0,0,0.097997912,2.715974126,DT,10,0
1665463439,4,0.027586207,0.096153846,0.056338028,0.271428571,0.014925373,0,0.029850746,0,0,0,1,0,0,0,0.077872956,1.918931635,GBDT,10,0
1665463439,4,0.027586207,0.096153846,0.084507042,0.342857143,0,0,0.074626866,0,0,0,1,0,0,0,0.064936272,1.845299602,AB,10,0
1665463439,4,0.068965517,0.038461538,0.042253521,0.242857143,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.083288204,2.031360777,GNB,10,0
1665463439,4,0,0.076923077,0.028169014,0.171428571,0,0,0,0,0,0,1,0,0,0,0.099034466,1.27680472,LDA,10,0
1665463439,4,0.04137931,0.096153846,0.042253521,0.3,0,0.043478261,0.029850746,0,0,0,1,0,0,0,0.072217799,1.996528125,QDA,10,0
1665463439,4,0.006896552,0.019230769,0.028169014,0.1,0,0.014492754,0,0,0,0,1,0,0,0,0.115917274,1.72815591,SVM,10,0
1665463439,4,0.137931034,0.096153846,0.126760563,0.214285714,0.119402985,0.188405797,0.119402985,0,0,0,1,0,0,0,0.103670943,2.755836931,KNN,10,0
1665463441,5,0.034482759,0.019230769,0.028169014,0.114285714,0.014925373,0.014492754,0.044776119,0,0,0,1,0,0,0,0.112754269,2.401843981,RF,10,0
1665463441,5,0,0.096153846,0.028169014,0.2,0,0.014492754,0,0,0,0,1,0,0,0,0.092892728,1.457427074,LR,10,0
